epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.74585,1.82416,8.62846,2.08979,0.15586,0.2401,0.02422,0.01266,1.62085,5.91339,2.2024,2.499e-05,2.499e-05,2.499e-05
2,3.10543,1.79137,8.74893,2.07598,0.19678,0.17735,0.02167,0.01251,1.57925,6.03202,2.16465,5.81176e-05,5.81176e-05,5.81176e-05
3,4.60522,1.70216,6.73254,1.97368,0.19044,0.16069,0.05073,0.03443,1.47118,20.9688,2.05007,9.10252e-05,9.10252e-05,9.10252e-05
4,6.36284,1.4453,3.83663,1.80885,0.31975,0.27355,0.13074,0.08619,1.46738,20.8343,2.0178,0.000123713,0.000123713,0.000123713
5,7.98284,1.23015,3.03895,1.61829,0.51584,0.16194,0.185,0.12441,1.36648,13.763,1.79987,0.000156181,0.000156181,0.000156181
6,9.58667,1.22155,2.62626,1.61269,0.41258,0.24497,0.2855,0.19431,1.42628,9.28407,1.85482,0.000188429,0.000188429,0.000188429
7,11.253,1.15926,2.25162,1.52795,0.49432,0.19438,0.28998,0.18825,1.42921,11.1805,1.94927,0.000220457,0.000220457,0.000220457
8,12.7832,1.00257,1.79484,1.38058,0.28137,0.33098,0.19485,0.13411,1.47166,12.1394,2.00248,0.000252265,0.000252265,0.000252265
9,14.1742,1.03556,1.69966,1.39752,0.41237,0.24167,0.32504,0.19272,1.47307,5.17721,1.99932,0.000283853,0.000283853,0.000283853
10,15.6096,1.04595,1.53079,1.38607,0.37227,0.26586,0.28319,0.16642,1.51451,4.6641,2.12881,0.000315221,0.000315221,0.000315221
11,16.9529,1.0074,1.48248,1.31071,0.32973,0.49844,0.32873,0.18027,1.63725,4.30361,2.23833,0.00034637,0.00034637,0.00034637
12,18.2548,1.01564,1.40527,1.3808,0.39885,0.39971,0.3457,0.20984,1.71532,6.66697,2.2921,0.000377298,0.000377298,0.000377298
13,19.6338,1.0661,1.33585,1.36256,0.54129,0.25137,0.31,0.20422,1.58488,4.61586,2.33571,0.000408007,0.000408007,0.000408007
14,20.8809,0.94724,1.19232,1.28979,0.50874,0.29375,0.24568,0.15419,1.55721,3.5588,2.27909,0.000438495,0.000438495,0.000438495
15,22.165,0.98166,1.23827,1.33684,0.38063,0.27088,0.29241,0.16517,1.58959,3.34807,2.22456,0.000468764,0.000468764,0.000468764
16,23.5474,0.90725,1.16669,1.26951,0.3629,0.38333,0.36686,0.19995,1.64318,3.48625,2.26109,0.000498813,0.000498813,0.000498813
17,24.8337,0.93418,1.10191,1.27906,0.29731,0.41292,0.28723,0.16024,1.64795,3.45624,2.35427,0.000528642,0.000528642,0.000528642
18,26.1188,0.94461,1.15583,1.33693,0.60526,0.23277,0.33479,0.20665,1.68155,3.20817,2.53614,0.000558251,0.000558251,0.000558251
19,27.3692,0.87906,0.99092,1.28329,0.67677,0.24337,0.35327,0.2301,1.75179,3.30425,2.66807,0.00058764,0.00058764,0.00058764
20,28.6431,0.91904,1.0093,1.2786,0.57688,0.27448,0.26533,0.16693,1.71784,3.49394,2.5333,0.000616809,0.000616809,0.000616809
21,29.9283,0.9242,1.0058,1.25519,0.33185,0.37708,0.31673,0.14049,1.87601,4.14026,2.68882,0.000645758,0.000645758,0.000645758
22,31.1772,0.86464,1.0179,1.2468,0.39871,0.35786,0.29819,0.13064,2.00643,3.4242,2.7688,0.000674488,0.000674488,0.000674488
23,32.4182,0.93158,1.05901,1.31428,0.29765,0.33802,0.29503,0.14274,1.87562,3.18481,2.63951,0.000702997,0.000702997,0.000702997
24,33.7298,0.91353,0.95942,1.25166,0.37356,0.29115,0.25121,0.12294,1.82885,3.27242,2.45484,0.000731287,0.000731287,0.000731287
25,34.9658,0.89879,0.95357,1.27111,0.37385,0.23895,0.2697,0.12936,1.91941,3.25318,2.597,0.000759356,0.000759356,0.000759356
26,36.2611,0.94809,1.05082,1.32116,0.32249,0.27344,0.22178,0.09828,1.95722,3.40756,2.7769,0.000764278,0.000764278,0.000764278
27,37.557,0.91993,1.08135,1.33476,0.35539,0.35981,0.22465,0.11068,1.9114,3.6488,2.56447,0.000761529,0.000761529,0.000761529
28,38.806,0.99522,1.20723,1.31469,0.26935,0.23697,0.22644,0.10429,2.29525,3.44834,2.96003,0.00075878,0.00075878,0.00075878
29,40.0773,0.90204,1.09145,1.27962,0.18865,0.25325,0.17899,0.06561,2.25779,4.40241,2.88718,0.000756031,0.000756031,0.000756031
30,41.347,0.90481,0.96343,1.26634,0.23824,0.3388,0.25805,0.13514,1.79764,3.9842,2.55724,0.000753282,0.000753282,0.000753282
31,42.627,0.87969,0.9538,1.22911,0.53935,0.32656,0.28509,0.17637,1.88552,3.89838,2.75763,0.000750533,0.000750533,0.000750533
32,43.8857,0.81023,0.91139,1.21489,0.30954,0.40833,0.33499,0.18459,1.84184,3.33158,2.86527,0.000747784,0.000747784,0.000747784
33,45.1504,0.88406,1.00487,1.26997,0.36035,0.41854,0.30644,0.15392,1.81978,3.59596,2.64238,0.000745035,0.000745035,0.000745035
34,46.4054,0.84719,0.8988,1.22359,0.35635,0.2888,0.26789,0.144,1.84291,3.35993,2.74846,0.000742286,0.000742286,0.000742286
35,47.6821,0.88947,0.86111,1.24782,0.26218,0.42135,0.29682,0.1451,1.76828,3.42726,2.58201,0.000739537,0.000739537,0.000739537
36,48.9473,0.89587,0.97461,1.25834,0.28651,0.44219,0.30937,0.16726,1.77673,3.12442,2.52555,0.000736788,0.000736788,0.000736788
37,50.1802,0.84503,0.94955,1.21377,0.29209,0.39271,0.26921,0.15463,1.7437,3.16115,2.4821,0.00073404,0.00073404,0.00073404
38,51.4531,0.79293,0.84658,1.19908,0.41472,0.23654,0.27719,0.14882,1.63134,3.86556,2.24822,0.000731291,0.000731291,0.000731291
39,52.6947,0.81766,0.86121,1.21991,0.72879,0.23662,0.26755,0.15403,1.64568,3.99902,2.32968,0.000728542,0.000728542,0.000728542
40,53.9674,0.82148,0.84696,1.21308,0.66016,0.27261,0.30658,0.18611,1.68869,3.54718,2.3853,0.000725793,0.000725793,0.000725793
41,55.2383,0.8469,0.83244,1.22529,0.67454,0.32812,0.31891,0.20799,1.68855,3.31816,2.44484,0.000723044,0.000723044,0.000723044
42,56.5271,0.81738,0.86851,1.20657,0.44577,0.35938,0.29821,0.1823,1.68903,3.65525,2.44248,0.000720295,0.000720295,0.000720295
43,57.7681,0.80903,0.84344,1.21548,0.63073,0.25557,0.26568,0.1564,1.71985,3.55891,2.47753,0.000717546,0.000717546,0.000717546
44,59.0417,0.76032,0.78568,1.20557,0.45635,0.29271,0.25644,0.14554,1.68324,3.42417,2.37744,0.000714797,0.000714797,0.000714797
45,60.308,0.86547,0.88093,1.22495,0.54772,0.20868,0.28731,0.18333,1.70119,3.4475,2.45018,0.000712048,0.000712048,0.000712048
46,61.5507,0.84034,0.86554,1.19892,0.30362,0.34505,0.2301,0.13498,1.81877,3.41396,2.45227,0.000709299,0.000709299,0.000709299
47,62.816,0.83442,0.76217,1.21504,0.23282,0.28784,0.17573,0.09596,1.78883,3.2747,2.35802,0.000706551,0.000706551,0.000706551
48,64.1046,0.7664,0.78549,1.1533,0.3069,0.2696,0.19534,0.08824,1.98782,3.33712,2.50573,0.000703802,0.000703802,0.000703802
49,65.3468,0.79831,0.83764,1.15065,0.47013,0.1974,0.21863,0.11372,1.92889,3.07522,2.49122,0.000701053,0.000701053,0.000701053
50,66.6154,0.6921,0.68898,1.13343,0.49232,0.20721,0.28622,0.16421,1.83983,3.11799,2.45595,0.000698304,0.000698304,0.000698304
51,67.8836,0.73932,0.70164,1.14956,0.67766,0.25133,0.35052,0.21815,1.68647,3.08304,2.3747,0.000695555,0.000695555,0.000695555
52,69.1758,0.75134,0.73006,1.15058,0.43325,0.2714,0.30538,0.17216,1.82341,3.64803,2.65045,0.000692806,0.000692806,0.000692806
53,70.5649,0.73909,0.76781,1.15292,0.28533,0.35483,0.28878,0.16866,1.85203,3.46675,2.8376,0.000690057,0.000690057,0.000690057
54,71.9026,0.73286,0.77271,1.1927,0.47328,0.30729,0.34496,0.19877,1.77642,2.96972,2.55545,0.000687308,0.000687308,0.000687308
55,73.1527,0.7076,0.71553,1.12957,0.42554,0.36328,0.34609,0.19609,1.71695,3.02564,2.35445,0.000684559,0.000684559,0.000684559
56,74.4367,0.75977,0.76053,1.14418,0.42803,0.41889,0.37586,0.22188,1.62533,2.87734,2.17555,0.00068181,0.00068181,0.00068181
57,75.7083,0.7144,0.70082,1.19235,0.54199,0.45986,0.44544,0.25911,1.66106,2.69934,2.24795,0.000679062,0.000679062,0.000679062
58,77.0051,0.76279,0.75699,1.16041,0.6559,0.39339,0.45646,0.27212,1.61517,2.36678,2.19931,0.000676313,0.000676313,0.000676313
59,78.3801,0.7309,0.72714,1.13548,0.49412,0.53518,0.48413,0.27578,1.63966,2.58718,2.28928,0.000673564,0.000673564,0.000673564
60,79.7295,0.66338,0.68459,1.10845,0.36647,0.52174,0.46583,0.24566,1.72229,2.81941,2.2945,0.000670815,0.000670815,0.000670815
61,81.0065,0.76425,0.70865,1.13274,0.32171,0.40598,0.30447,0.16941,1.76982,3.09121,2.37885,0.000668066,0.000668066,0.000668066
62,82.3314,0.71734,0.68013,1.16001,0.24681,0.36988,0.25925,0.13958,1.8902,3.30524,2.47992,0.000665317,0.000665317,0.000665317
63,83.6563,0.69225,0.73958,1.1362,0.36469,0.3235,0.34788,0.20646,1.91604,3.194,2.66363,0.000662568,0.000662568,0.000662568
64,84.9686,0.7084,0.64015,1.15506,0.61513,0.37,0.40087,0.20846,1.88791,2.88609,2.5917,0.000659819,0.000659819,0.000659819
